"Country","Confirmed","Deaths","Recovered","Active","Date","Lat","Long"
"Afghanistan",2171,64,260,1847,2020-04-30,"33.93911","67.709953"
"Albania",773,31,470,272,2020-04-30,"41.153332","20.168331"
"Algeria",4006,450,1779,1777,2020-04-30,"28.033886","1.659626"
"Andorra",745,42,468,235,2020-04-30,"42.546245","1.601554"
"Angola",27,2,7,18,2020-04-30,"-11.202692","17.873887"
"Antigua and Barbuda",24,3,11,10,2020-04-30,"17.060816","-61.796428"
"Argentina",4428,218,1256,2954,2020-04-30,"-38.416097","-63.616672"
"Armenia",2066,32,929,1105,2020-04-30,"40.069099","45.038189"
"Australia",6766,93,5742,931,2020-04-30,"-25.274398","133.775136"
"Austria",15452,584,12907,1961,2020-04-30,"47.516231","14.550072"
"Azerbaijan",1804,24,1325,455,2020-04-30,"40.143105","47.576927"
"Bahamas",81,11,25,45,2020-04-30,"25.03428","-77.39628"
"Bahrain",3040,8,1500,1532,2020-04-30,"25.930414","50.637772"
"Bangladesh",7667,168,160,7339,2020-04-30,"23.684994","90.356331"
"Barbados",81,7,39,35,2020-04-30,"13.193887","-59.543198"
"Belarus",14027,89,2386,11552,2020-04-30,"53.709807","27.953389"
"Belgium",48519,7594,11576,29349,2020-04-30,"50.503887","4.469936"
"Belize",18,2,9,7,2020-04-30,"17.189877","-88.49765"
"Benin",64,1,33,30,2020-04-30,"9.30769","2.315834"
"Bhutan",7,0,5,2,2020-04-30,"27.514162","90.433601"
"Bolivia",1110,59,117,934,2020-04-30,"-16.290154","-63.588653"
"Bosnia and Herzegovina",1757,69,727,961,2020-04-30,"43.915886","17.679076"
"Botswana",23,1,5,17,2020-04-30,"-22.328474","24.684866"
"Brazil",87187,6006,35935,45246,2020-04-30,"-14.235004","-51.92528"
"Brunei",138,1,124,13,2020-04-30,"4.535277","114.727669"
"Bulgaria",1506,66,266,1174,2020-04-30,"42.733883","25.48583"
"Burkina Faso",645,43,506,96,2020-04-30,"12.238333","-1.561593"
"Burma",151,6,27,118,2020-04-30,"21.913965","95.956223"
"Burundi",11,1,4,6,2020-04-30,"-3.373056","29.918886"
"Cabo Verde",121,1,4,116,2020-04-30,"16.002082","-24.013197"
"Cambodia",122,0,119,3,2020-04-30,"12.565679","104.990963"
"Cameroon",1832,61,934,837,2020-04-30,"7.369722","12.354722"
"Canada",54457,3310,21424,29723,2020-04-30,"56.130366","-106.346771"
"Central African Republic",50,0,10,40,2020-04-30,"6.611111","20.939444"
"Chad",73,5,33,35,2020-04-30,"15.454166","18.732207"
"Chile",16023,227,8580,7216,2020-04-30,"-35.675147","-71.542969"
"China",83956,4637,78523,796,2020-04-30,"35.86166","104.195397"
"Colombia",6507,293,1439,4775,2020-04-30,"4.570868","-74.297333"
"Comoros",1,0,0,1,2020-04-30,"-22.95764","18.49041"
"Congo (Brazzaville)",220,9,19,192,2020-04-30,"-0.228021","15.827659"
"Congo (Kinshasa)",572,31,73,468,2020-04-30,"-4.038333","21.758664"
"Costa Rica",719,6,338,375,2020-04-30,"9.748917","-83.753428"
"Cote d'Ivoire",1275,14,574,687,2020-04-30,"7.539989","-5.54708"
"Croatia",2076,69,1348,659,2020-04-30,"45.1","15.2"
"Cuba",1501,61,681,759,2020-04-30,"21.521757","-77.781167"
"Cyprus",850,15,296,539,2020-04-30,"35.126413","33.429859"
"Czechia",7682,236,3314,4132,2020-04-30,"49.817492","15.472962"
"Denmark",9356,452,6741,2163,2020-04-30,"56.26392","9.501785"
"Diamond Princess",712,13,645,54,2020-04-30,"37.09024","-95.712891"
"Djibouti",1089,2,642,445,2020-04-30,"11.825138","42.590275"
"Dominica",16,0,13,3,2020-04-30,"15.414999","-61.370976"
"Dominican Republic",6972,301,1301,5370,2020-04-30,"18.735693","-70.162651"
"Ecuador",24934,900,1558,22476,2020-04-30,"-1.831239","-78.183406"
"Egypt",5537,392,1381,3764,2020-04-30,"26.820553","30.802498"
"El Salvador",395,10,119,266,2020-04-30,"13.794185","-88.89653"
"Equatorial Guinea",315,1,9,305,2020-04-30,"1.650801","10.267895"
"Eritrea",39,0,26,13,2020-04-30,"15.179384","39.782334"
"Estonia",1689,52,249,1388,2020-04-30,"58.595272","25.013607"
"Eswatini",100,1,12,87,2020-04-30,"-26.522503","31.465866"
"Ethiopia",131,3,59,69,2020-04-30,"9.145","40.489673"
"Fiji",18,0,12,6,2020-04-30,"-16.578193","179.414413"
"Finland",4995,211,3000,1784,2020-04-30,"61.92411","25.748151"
"France",167299,24410,50380,92509,2020-04-30,"46.227638","2.213749"
"Gabon",276,3,67,206,2020-04-30,"-0.803689","11.609444"
"Gambia",11,1,8,2,2020-04-30,"13.443182","-15.310139"
"Georgia",539,6,184,349,2020-04-30,"42.315407","43.356892"
"Germany",163009,6623,123500,32886,2020-04-30,"51.165691","10.451526"
"Ghana",2074,17,212,1845,2020-04-30,"7.946527","-1.023194"
"Greece",2591,140,1374,1077,2020-04-30,"39.074208","21.824312"
"Grenada",20,0,13,7,2020-04-30,"12.262776","-61.604171"
"Guatemala",599,16,66,517,2020-04-30,"15.783471","-90.230759"
"Guinea",1495,7,329,1159,2020-04-30,"9.945587","-9.696645"
"Guinea-Bissau",205,1,19,185,2020-04-30,"11.803749","-15.180413"
"Guyana",82,9,22,51,2020-04-30,"4.860416","-58.93018"
"Haiti",81,8,8,65,2020-04-30,"18.971187","-72.285215"
"Holy See",11,0,2,9,2020-04-30,"41.902916","12.453389"
"Honduras",771,71,79,621,2020-04-30,"15.199999","-86.241905"
"Hungary",2775,312,581,1882,2020-04-30,"47.162494","19.503304"
